"Path_id";"Timestamp";"Duration"
"1";"2026-01-19 15:00:00.000";"484"
"2";"2026-01-19 15:00:00.000";"269"
"3";"2026-01-19 15:00:00.000";"147"
"4";"2026-01-19 15:00:00.000";"471"
"6";"2026-01-19 15:00:00.000";"119"
"7";"2026-01-19 15:00:00.000";"123"
"8";"2026-01-19 15:00:00.000";"68"
"9";"2026-01-19 15:00:00.000";"300"
"10";"2026-01-19 15:00:00.000";"378"
"12";"2026-01-19 15:00:00.000";"107"
"13";"2026-01-19 15:00:00.000";"50"
"14";"2026-01-19 15:00:00.000";"328"
"15";"2026-01-19 15:00:00.000";"316"
"16";"2026-01-19 15:00:00.000";"60"
"17";"2026-01-19 15:00:00.000";"466"
"18";"2026-01-19 15:00:00.000";"129"
"21";"2026-01-19 15:00:00.000";"589"
"24";"2026-01-19 15:00:00.000";"229"
"26";"2026-01-19 15:00:00.000";"161"
"29";"2026-01-19 15:00:00.000";"235"
"33";"2026-01-19 15:00:00.000";"495"
"34";"2026-01-19 15:00:00.000";"420"
"35";"2026-01-19 15:00:00.000";"260"
"79";"2026-01-19 15:00:00.000";"309"
"80";"2026-01-19 15:00:00.000";"229"
"81";"2026-01-19 15:00:00.000";"270"
"82";"2026-01-19 15:00:00.000";"286"
"83";"2026-01-19 15:00:00.000";"249"
"84";"2026-01-19 15:00:00.000";"244"
"85";"2026-01-19 15:00:00.000";"205"
"86";"2026-01-19 15:00:00.000";"122"
"87";"2026-01-19 15:00:00.000";"320"
"88";"2026-01-19 15:00:00.000";"230"
"89";"2026-01-19 15:00:00.000";"120"
"90";"2026-01-19 15:00:00.000";"103"
"91";"2026-01-19 15:00:00.000";"135"
"92";"2026-01-19 15:00:00.000";"269"
"93";"2026-01-19 15:00:00.000";"73"
"94";"2026-01-19 15:00:00.000";"98"
"95";"2026-01-19 15:00:00.000";"234"
"96";"2026-01-19 15:00:00.000";"227"
"97";"2026-01-19 15:00:00.000";"89"
"100";"2026-01-19 15:00:00.000";"153"
"101";"2026-01-19 15:00:00.000";"295"
"102";"2026-01-19 15:00:00.000";"287"
"103";"2026-01-19 15:00:00.000";"317"
"104";"2026-01-19 15:00:00.000";"279"
"105";"2026-01-19 15:00:00.000";"278"
"106";"2026-01-19 15:00:00.000";"283"
"107";"2026-01-19 15:00:00.000";"215"
"110";"2026-01-19 15:00:00.000";"233"
"112";"2026-01-19 15:00:00.000";"123"
"113";"2026-01-19 15:00:00.000";"246"
"114";"2026-01-19 15:00:00.000";"313"
"115";"2026-01-19 15:00:00.000";"355"
"116";"2026-01-19 15:00:00.000";"114"
"117";"2026-01-19 15:00:00.000";"91"
"118";"2026-01-19 15:00:00.000";"115"
"119";"2026-01-19 15:00:00.000";"108"
"120";"2026-01-19 15:00:00.000";"218"
"121";"2026-01-19 15:00:00.000";"207"
"122";"2026-01-19 15:00:00.000";"183"
"128";"2026-01-19 15:00:00.000";"143"
"129";"2026-01-19 15:00:00.000";"269"
"132";"2026-01-19 15:00:00.000";"187"
"133";"2026-01-19 15:00:00.000";"191"
"136";"2026-01-19 15:00:00.000";"168"
"139";"2026-01-19 15:00:00.000";"391"
"154";"2026-01-19 15:00:00.000";"162"
"156";"2026-01-19 15:00:00.000";"752"
"158";"2026-01-19 15:00:00.000";"127"
"162";"2026-01-19 15:00:00.000";"558"
"168";"2026-01-19 15:00:00.000";"113"
"172";"2026-01-19 15:00:00.000";"72"
"173";"2026-01-19 15:00:00.000";"237"
"176";"2026-01-19 15:00:00.000";"362"
"177";"2026-01-19 15:00:00.000";"532"
"184";"2026-01-19 15:00:00.000";"210"
"185";"2026-01-19 15:00:00.000";"149"
"186";"2026-01-19 15:00:00.000";"221"
"187";"2026-01-19 15:00:00.000";"147"
"188";"2026-01-19 15:00:00.000";"189"
"189";"2026-01-19 15:00:00.000";"127"
"190";"2026-01-19 15:00:00.000";"135"
"191";"2026-01-19 15:00:00.000";"220"
"192";"2026-01-19 15:00:00.000";"180"
"193";"2026-01-19 15:00:00.000";"224"
"194";"2026-01-19 15:00:00.000";"123"
"202";"2026-01-19 15:00:00.000";"82"
"203";"2026-01-19 15:00:00.000";"258"
"206";"2026-01-19 15:00:00.000";"283"
"207";"2026-01-19 15:00:00.000";"198"
"209";"2026-01-19 15:00:00.000";"44"
"210";"2026-01-19 15:00:00.000";"33"
"211";"2026-01-19 15:00:00.000";"176"
"212";"2026-01-19 15:00:00.000";"162"
"217";"2026-01-19 15:00:00.000";"275"
"218";"2026-01-19 15:00:00.000";"287"
"9000001";"2026-01-19 15:00:00.000";"70"
"9000002";"2026-01-19 15:00:00.000";"103"
"9000003";"2026-01-19 15:00:00.000";"95"
"9000004";"2026-01-19 15:00:00.000";"68"
"9000005";"2026-01-19 15:00:00.000";"107"
"9000006";"2026-01-19 15:00:00.000";"145"
